City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,58,KI,1568783237,57,3.07,172.79,85.37,2.1
1,poso,72,ID,1568783237,42,-1.4,120.75,79.25,6.53
2,mar del plata,87,AR,1568783237,61,-46.43,-67.52,43.61,12.03
3,bluff,0,AU,1568783237,18,-23.58,149.07,85.19,7.9
4,mount gambier,2,AU,1568783138,48,-37.83,140.78,60.8,11.41
5,iqaluit,90,CA,1568783237,93,63.75,-68.52,37.4,8.05
6,arraial do cabo,0,BR,1568783237,92,-22.97,-42.02,70.79,0.58
7,buchanan,100,LR,1568783237,87,5.88,-10.05,77.09,13.91
8,saint george,0,GR,1568783238,63,39.45,22.34,62.6,1.66
9,busselton,100,AU,1568783238,48,-33.64,115.35,69.01,32.82
10,bambous virieux,40,MU,1568783238,83,-20.34,57.76,75.99,7.99
11,rikitea,99,PF,1568783238,63,-23.12,-134.97,68.09,15.52
12,atlantis,20,ZA,1568783238,100,-33.57,18.5,61.0,3.36
13,qaanaaq,0,GL,1568783238,43,77.48,-69.36,18.59,8.75
14,saskylakh,63,RU,1568783239,65,71.97,114.09,39.29,6.6
15,concarneau,0,FR,1568783242,87,47.88,-3.92,55.4,11.41
16,palauig,100,PH,1568783242,82,15.44,119.9,79.43,11.48
17,ranong,75,TH,1568783242,94,9.96,98.62,77.0,8.05
18,nanortalik,100,GL,1568783242,69,60.14,-45.24,39.83,2.06
19,khatanga,0,RU,1568783242,35,71.98,102.47,43.25,22.39
20,tocache,62,PE,1568783243,92,-8.19,-76.51,54.41,4.16
21,chapais,1,CA,1568783243,93,49.78,-74.86,44.6,2.24
22,kurmanayevka,97,RU,1568783243,57,52.51,52.07,60.89,12.41
23,thompson,75,CA,1568782956,83,55.74,-97.86,71.6,3.36
24,punta arenas,40,CL,1568783243,86,-53.16,-70.91,37.4,9.17
25,atuona,11,PF,1568783243,72,-9.8,-139.03,79.97,11.92
26,jamestown,16,AU,1568783243,28,-33.21,138.6,68.27,9.42
27,sheksna,90,RU,1568783244,100,59.21,38.5,44.6,2.24
28,nikolskoye,75,RU,1568783244,93,59.7,30.79,46.0,4.47
29,hobart,20,AU,1568783244,29,-42.88,147.33,63.0,5.82
30,lagoa,0,PT,1568783244,82,37.14,-8.45,64.4,6.93
31,bethel,90,US,1568783244,93,60.79,-161.76,48.2,13.87
32,portland,90,US,1568783172,66,43.66,-70.25,55.0,8.05
33,ozernovskiy,100,RU,1568783244,73,51.5,156.52,51.71,8.97
34,constitucion,78,MX,1568783245,83,23.99,-104.67,56.57,9.06
35,hasaki,75,JP,1568783245,83,35.73,140.83,72.0,8.05
36,narsaq,96,GL,1568783245,31,60.91,-46.05,46.4,24.16
37,strezhevoy,75,RU,1568783245,87,60.73,77.6,51.8,13.42
38,ginda,40,IN,1568783245,83,30.69,78.49,77.0,4.99
39,kidal,0,ML,1568783245,17,18.44,1.41,86.45,8.84
40,hithadhoo,20,MV,1568783245,69,-0.6,73.08,83.21,3.18
41,pangnirtung,98,CA,1568783246,96,66.15,-65.72,29.03,3.56
42,yar-sale,68,RU,1568783246,69,66.83,70.83,49.19,9.28
43,hambantota,75,LK,1568783246,94,6.12,81.12,82.4,9.17
44,hilo,1,US,1568783246,65,19.71,-155.08,82.4,6.93
45,bredasdorp,100,ZA,1568783246,93,-34.53,20.04,60.01,2.21
46,san policarpo,58,PH,1568783246,62,12.18,125.51,89.15,5.61
47,kapaa,90,US,1568783246,74,22.08,-159.32,82.4,5.82
48,along,94,IN,1568783247,95,28.17,94.8,63.41,1.59
49,almaznyy,19,RU,1568783250,93,48.03,40.04,57.2,6.71
50,kavieng,0,PG,1568783250,76,-2.57,150.8,83.03,12.68
51,moron,0,HT,1568783250,79,18.56,-74.26,81.95,8.5
52,lusambo,57,CD,1568783250,80,-4.97,23.44,74.93,2.64
53,yellowknife,90,CA,1568783250,93,62.45,-114.38,42.8,9.17
54,keuruu,20,FI,1568783250,100,62.26,24.71,41.0,3.36
55,pisco,13,PE,1568783251,87,-13.71,-76.2,61.0,1.12
56,tuatapere,98,NZ,1568783251,70,-46.13,167.69,53.01,11.01
57,tilichiki,99,RU,1568783251,86,60.47,166.1,47.75,4.21
58,tecoanapa,90,MX,1568783251,94,16.99,-99.26,77.0,5.82
59,miandrivazo,0,MG,1568783251,37,-19.53,45.46,86.45,7.52
60,ivanovka,100,RU,1568783251,74,55.56,88.79,56.03,13.33
61,vaini,75,IN,1568783251,83,15.34,74.49,75.2,6.93
62,kutahya,0,TR,1568783252,87,39.42,29.98,43.0,3.27
63,san patricio,90,PY,1568783252,95,-26.98,-56.83,59.81,3.11
64,ubatuba,12,BR,1568783252,62,-23.43,-45.08,66.47,3.36
65,georgetown,20,GY,1568783252,100,6.8,-58.16,75.2,4.7
66,jiuquan,100,CN,1568783252,69,39.73,98.49,51.89,15.43
67,port hedland,41,AU,1568783252,32,-20.31,118.58,93.2,13.87
68,provideniya,75,RU,1568783252,65,64.42,-173.23,46.4,13.42
69,hermanus,100,ZA,1568783253,91,-34.42,19.24,60.01,3.0
70,college,90,US,1568783253,36,64.86,-147.8,46.4,4.7
71,riyadh,0,SA,1568783013,26,24.63,46.72,82.4,2.24
72,paamiut,0,GL,1568783253,60,61.99,-49.67,40.37,6.85
73,san cristobal,43,HN,1568783253,92,14.68,-86.92,66.65,1.95
74,fortuna,90,US,1568783253,93,40.6,-124.16,60.8,9.17
75,nishihara,75,JP,1568783253,94,35.74,139.53,73.0,2.24
76,maragogi,79,BR,1568783253,94,-9.01,-35.22,71.15,4.09
77,ponta do sol,9,BR,1568783254,42,-20.63,-46.0,70.07,4.27
78,katsuura,20,JP,1568783254,58,33.93,134.5,87.01,12.75
79,cherskiy,59,RU,1568783254,54,68.75,161.3,52.43,5.88
80,boende,100,CD,1568783254,87,-0.28,20.88,74.39,2.17
81,ketchikan,1,US,1568783254,87,55.34,-131.65,57.2,11.41
82,abu zabad,100,SD,1568783254,78,12.35,29.25,72.95,8.84
83,ponta delgada,40,PT,1568783254,94,37.73,-25.67,71.6,5.82
84,cape town,20,ZA,1568783239,100,-33.93,18.42,61.0,3.36
85,faya,0,SA,1568783255,34,18.39,42.45,68.0,0.38
86,chirongui,75,YT,1568783255,74,-12.93,45.15,80.6,8.05
87,banepa,90,NP,1568783255,94,27.63,85.52,68.0,6.93
88,sioux lookout,90,CA,1568783255,93,50.1,-91.92,66.2,9.17
89,vao,94,EE,1568783255,85,59.1,26.19,48.47,11.36
90,humberto de campos,17,BR,1568783256,80,-2.6,-43.46,76.91,8.03
91,gisborne,2,NZ,1568782982,51,-38.66,178.02,59.0,8.01
92,kohlu,0,PK,1568783256,17,29.9,69.25,88.97,3.67
93,abha,0,SA,1568783256,34,18.22,42.5,68.0,16.37
94,san juan,0,AR,1568783256,31,-31.54,-68.53,46.13,1.48
95,kirpilskaya,20,RU,1568783256,68,45.38,39.69,75.0,15.66
96,castro,75,CL,1568782968,87,-42.48,-73.76,42.8,4.7
97,santa maria,0,BR,1568783152,48,-16.02,-48.01,66.2,1.12
98,deoria,75,IN,1568783222,100,26.5,83.79,75.2,8.05
99,morondava,2,MG,1568783256,84,-20.3,44.28,75.29,9.78
100,nisia floresta,40,BR,1568783257,83,-6.09,-35.21,77.0,9.17
101,kalmunai,24,LK,1568783257,40,7.42,81.82,95.81,3.2
102,plettenberg bay,54,ZA,1568783260,78,-34.05,23.37,61.61,1.21
103,ostrovnoy,1,RU,1568783260,77,68.05,39.51,40.01,12.48
104,soc trang,75,VN,1568783260,100,9.6,105.98,75.2,12.75
105,puerto ayora,100,EC,1568783260,88,-0.74,-90.35,63.0,5.61
106,ushuaia,75,AR,1568783136,86,-54.81,-68.31,37.4,4.7
107,kurilsk,99,RU,1568783261,71,45.23,147.88,57.29,10.36
108,sorong,81,ID,1568783261,64,-0.86,131.25,85.37,8.99
